"","rank","sparseness.basis","sparseness.coef","rss","evar","silhouette.coef","silhouette.basis","residuals","niter","cpu","cpu.all","nrun","cophenetic","dispersion","silhouette.consensus"
"1",1,2.39738340253229e-05,NA,0.00035949690358272,0.651730115011997,NA,NA,1.56357004409294,60,0.077,27.566,30,NA,1,NA
"2",2,0.148267133756049,0.763421592954893,0.000202473501719327,0.803849706481039,1,1,1.08511548396881,2000,2.202,121.639,30,1,1,1
"3",3,0.188576836048037,0.797357737512434,0.000163526107985317,0.841580780660388,0.885193099686855,0.711239007599575,0.960535649418815,2000,3.863,147.168,30,0.998587578513878,0.989573495812167,0.993309659092984
"4",4,0.254111603137158,0.786907173822699,0.000153504114600641,0.851289789134862,0.809958168214154,0.572953165001032,0.877130358404674,2000,6.714,184.156,30,0.985594891777935,0.930117714116497,0.931962460473382
"5",5,0.274955814169002,0.787151909867123,0.000144700051802748,0.859818902758628,0.795136071460336,0.439527528284178,0.828468244724087,2000,8.009,220.905,30,0.927372964597297,0.73385469978659,0.690400871994485
"6",6,0.308468751135404,0.787157897942882,0.000138630114493296,0.865699277102829,0.774061325503135,0.408874497041292,0.785137961368448,2000,9.143,254.086,30,0.903293708929357,0.695235780868043,0.484706698808384
"7",7,0.363901294090398,0.77239803038959,0.000132802926506785,0.871344483138377,0.735098806829935,0.401619200013677,0.745326004845975,2000,9.217,302.484,30,0.891991884936449,0.7009957011519,0.462588047416008
"8",8,0.404088550914153,0.760039533142387,0.000127839149313397,0.876153242532459,0.696275737694221,0.421336018593973,0.71095293501447,2000,8.284,313.849,30,0.897776821466804,0.728971888043802,0.49881221262213
"9",9,0.434849500407462,0.758576796108255,0.000124271554452171,0.879609422097903,0.670043906509004,0.37768272830772,0.682751428641321,2000,8.985,331.816,30,0.880915687306714,0.740005050998727,0.467646275773663
"10",10,0.456533101538399,0.757600962626075,0.000121575809518753,0.882220979439739,0.635530635355734,0.397725499396308,0.655863193027483,2000,13.607,363.28,30,0.868282960219418,0.758707010316053,0.396871697265442
